beta,gamma,exp[beta0],exp[beta1],exp[beta2],exp[beta3],exp[beta4],exp[beta5],exp[beta6],exp[beta7],exp[beta8],exp[beta9],exp[beta10],exp[beta11],exp[beta12],exp[beta13],exp[beta14],exp[beta15],exp[beta16],exp[beta17],exp[beta18],exp[beta19],exp[beta20],exp[beta21],exp[beta22],exp[beta23],exp[beta24],exp[beta25],exp[beta26],exp[beta27],exp[beta28],exp[beta29],exp[beta30],exp[beta31],exp[beta32],exp[beta33],exp[beta34],exp[beta35],exp[beta36],exp[beta37],exp[beta38],exp[beta39],exp[beta40],exp[beta41],exp[beta42],exp[beta43],exp[beta44],exp[beta45],exp[beta46],exp[beta47],exp[beta48],exp[beta49],exp[beta50],exp[beta51],exp[beta52],exp[beta53],exp[beta54],exp[beta55],exp[beta56],exp[beta57],exp[beta58],exp[beta59],exp[beta60],exp[beta61],exp[beta62]
0.0,0.0,2.221246054603175,2.1522433943900143,2.1147690689653733,2.1103170614268576,2.139064859265911,2.199866378501611,2.290297654432317,2.406753477459069,2.544591121415387,2.6983154344085722,2.8617979131847098,3.0285210272137872,3.1918380520646803,3.3452380533332535,3.4826054570506266,3.598463858318498,3.68819434829065,3.7482196554928193,3.7761467603476753,3.7708622973137236,3.7325769412560432,3.662817008504226,3.5643636074368867,3.441141764466909,3.298063945624497,3.1408342120387274,2.975720817020552,2.809306310583894,2.6482251139490414,2.4988990261047124,2.367281206947545,2.258618843583289,2.177243961535355,2.126400720557712,2.1081160802230063,2.1231189914408697,2.1708113354854643,2.249291769101633,2.355431525060424,2.48499914623513,2.63282918044379,2.7930281107271506,2.959209311271777,3.1247476620270542,3.2830436713348456,3.427786576835994,3.553205935650818,3.654301673727044,3.7270434230136242,3.768531199516363,3.7771110165083543,3.752440823761297,3.695504144008726,3.6085708629982896,3.495106736310045,3.3596352206182942,3.207557137748579,3.044935360954771,2.878253107294948,2.7141554722262606,2.5591845106188607,2.4195184256728894,2.300725263453329
0.05,0.05,2.221246054603176,2.152243394390015,2.114769068965374,2.110317061426859,2.139064859265913,2.199866378501611,2.290297654432318,2.4067534774590684,2.544591121415387,2.698315434408574,2.861797913184712,3.0285210272137886,3.1918380520646807,3.3452380533332535,3.4826054570506284,3.5984638583185005,3.688194348290651,3.7482196554928215,3.7761467603476766,3.7708622973137254,3.7325769412560432,3.6628170085042284,3.5643636074368894,3.441141764466911,3.2980639456244982,3.1408342120387296,2.975720817020553,2.809306310583895,2.6482251139490427,2.4988990261047137,2.367281206947547,2.258618843583289,2.177243961535356,2.126400720557714,2.1081160802230077,2.1231189914408697,2.1708113354854652,2.2492917691016343,2.355431525060425,2.4849991462351313,2.632829180443791,2.7930281107271533,2.9592093112717777,3.1247476620270556,3.2830436713348474,3.4277865768359947,3.55320593565082,3.654301673727046,3.7270434230136242,3.7685311995163637,3.777111016508356,3.7524408237612987,3.695504144008728,3.60857086299829,3.4951067363100456,3.3596352206182947,3.207557137748581,3.0449353609547725,2.8782531072949498,2.714155472226263,2.5591845106188624,2.4195184256728908,2.3007252634533293
0.1,0.1,2.221246054603176,2.1522433943900134,2.1147690689653738,2.1103170614268594,2.139064859265914,2.1998663785016115,2.2902976544323184,2.4067534774590693,2.54459112141539,2.698315434408574,2.861797913184712,3.0285210272137886,3.1918380520646803,3.3452380533332553,3.482605457050629,3.5984638583184996,3.688194348290651,3.748219655492821,3.776146760347676,3.770862297313725,3.732576941256046,3.662817008504226,3.5643636074368903,3.4411417644669102,3.2980639456244987,3.1408342120387287,2.975720817020553,2.809306310583896,2.6482251139490414,2.4988990261047146,2.3672812069475464,2.25861884358329,2.177243961535356,2.126400720557714,2.108116080223008,2.12311899144087,2.1708113354854666,2.2492917691016343,2.355431525060426,2.4849991462351304,2.632829180443792,2.793028110727152,2.9592093112717786,3.1247476620270556,3.283043671334847,3.4277865768359947,3.55320593565082,3.654301673727047,3.7270434230136247,3.768531199516366,3.7771110165083552,3.7524408237612996,3.695504144008728,3.6085708629982904,3.495106736310047,3.359635220618296,3.207557137748581,3.044935360954771,2.8782531072949493,2.714155472226261,2.5591845106188624,2.4195184256728917,2.30072526345333
0.15000000000000002,0.15000000000000002,2.221246054603177,2.1522433943900157,2.114769068965374,2.1103170614268594,2.139064859265914,2.199866378501611,2.2902976544323193,2.4067534774590693,2.5445911214153885,2.698315434408575,2.861797913184713,3.02852102721379,3.191838052064681,3.3452380533332557,3.4826054570506297,3.5984638583185014,3.6881943482906525,3.7482196554928224,3.7761467603476766,3.770862297313726,3.7325769412560446,3.6628170085042284,3.5643636074368894,3.4411417644669102,3.298063945624499,3.1408342120387296,2.975720817020554,2.8093063105838953,2.6482251139490427,2.4988990261047133,2.3672812069475473,2.258618843583291,2.177243961535356,2.126400720557714,2.1081160802230086,2.1231189914408697,2.170811335485466,2.2492917691016348,2.355431525060426,2.4849991462351313,2.6328291804437924,2.793028110727153,2.9592093112717786,3.1247476620270573,3.2830436713348488,3.4277865768359956,3.553205935650821,3.654301673727047,3.727043423013625,3.768531199516365,3.777111016508357,3.7524408237612987,3.695504144008728,3.6085708629982904,3.4951067363100465,3.3596352206182964,3.2075571377485814,3.0449353609547747,2.87825310729495,2.714155472226262,2.559184510618862,2.4195184256728917,2.30072526345333
0.2,0.2,2.221246054603176,2.1522433943900157,2.1147690689653746,2.1103170614268603,2.139064859265913,2.1998663785016115,2.2902976544323184,2.40675347745907,2.544591121415388,2.698315434408575,2.861797913184712,3.028521027213789,3.191838052064681,3.3452380533332557,3.482605457050629,3.5984638583185022,3.6881943482906525,3.748219655492822,3.776146760347676,3.770862297313726,3.7325769412560454,3.66281700850423,3.56436360743689,3.441141764466911,3.2980639456244982,3.1408342120387314,2.9757208170205542,2.8093063105838953,2.6482251139490436,2.4988990261047137,2.3672812069475473,2.25861884358329,2.177243961535357,2.1264007205577142,2.108116080223008,2.1231189914408706,2.170811335485466,2.249291769101635,2.3554315250604265,2.4849991462351313,2.6328291804437933,2.7930281107271533,2.9592093112717794,3.1247476620270564,3.2830436713348474,3.4277865768359947,3.55320593565082,3.654301673727047,3.727043423013626,3.768531199516365,3.7771110165083552,3.7524408237613,3.6955041440087286,3.608570862998293,3.495106736310048,3.3596352206182947,3.207557137748582,3.044935360954774,2.8782531072949507,2.714155472226262,2.559184510618862,2.4195184256728908,2.30072526345333
0.25,0.25,2.2212460546031734,2.1522433943900134,2.1147690689653715,2.1103170614268567,2.1390648592659103,2.1998663785016097,2.2902976544323166,2.4067534774590666,2.544591121415385,2.6983154344085705,2.8617979131847093,3.0285210272137855,3.1918380520646776,3.3452380533332504,3.4826054570506244,3.598463858318496,3.688194348290647,3.748219655492817,3.7761467603476726,3.7708622973137214,3.732576941256041,3.662817008504225,3.5643636074368867,3.4411417644669084,3.2980639456244947,3.140834212038725,2.9757208170205502,2.8093063105838922,2.6482251139490387,2.498899026104711,2.3672812069475433,2.258618843583287,2.1772439615353534,2.1264007205577107,2.1081160802230055,2.1231189914408684,2.170811335485465,2.2492917691016316,2.355431525060423,2.4849991462351295,2.6328291804437893,2.7930281107271493,2.959209311271775,3.124747662027053,3.283043671334844,3.427786576835991,3.5532059356508165,3.654301673727043,3.727043423013621,3.768531199516361,3.777111016508351,3.752440823761294,3.6955041440087233,3.6085708629982887,3.4951067363100443,3.359635220618291,3.2075571377485774,3.0449353609547694,2.8782531072949467,2.7141554722262593,2.5591845106188598,2.4195184256728894,2.3007252634533266
0.30000000000000004,0.30000000000000004,2.2212460546031725,2.152243394390014,2.114769068965372,2.1103170614268585,2.139064859265911,2.1998663785016097,2.2902976544323157,2.4067534774590666,2.5445911214153867,2.6983154344085714,2.86179791318471,3.0285210272137864,3.1918380520646776,3.345238053333251,3.482605457050627,3.598463858318498,3.6881943482906476,3.7482196554928175,3.7761467603476735,3.7708622973137227,3.7325769412560414,3.662817008504224,3.5643636074368854,3.441141764466908,3.2980639456244965,3.140834212038725,2.9757208170205502,2.809306310583892,2.6482251139490396,2.498899026104711,2.367281206947545,2.258618843583287,2.1772439615353534,2.12640072055771,2.1081160802230055,2.123118991440868,2.1708113354854635,2.2492917691016316,2.355431525060423,2.4849991462351295,2.632829180443789,2.79302811072715,2.9592093112717754,3.124747662027054,3.2830436713348443,3.4277865768359916,3.5532059356508165,3.654301673727043,3.727043423013622,3.7685311995163615,3.7771110165083517,3.7524408237612965,3.695504144008725,3.6085708629982887,3.4951067363100434,3.359635220618291,3.2075571377485774,3.044935360954769,2.8782531072949467,2.7141554722262593,2.5591845106188598,2.419518425672889,2.3007252634533275
0.35000000000000003,0.35000000000000003,2.2212460546031734,2.152243394390013,2.114769068965373,2.110317061426858,2.139064859265911,2.19986637850161,2.2902976544323157,2.406753477459068,2.544591121415386,2.6983154344085714,2.861797913184709,3.0285210272137872,3.1918380520646785,3.3452380533332513,3.4826054570506257,3.598463858318498,3.68819434829065,3.748219655492819,3.7761467603476735,3.7708622973137236,3.732576941256043,3.6628170085042244,3.5643636074368867,3.4411417644669084,3.298063945624495,3.1408342120387274,2.975720817020551,2.8093063105838927,2.648225113949041,2.498899026104712,2.3672812069475446,2.2586188435832883,2.1772439615353547,2.1264007205577116,2.108116080223006,2.1231189914408684,2.170811335485465,2.249291769101632,2.3554315250604243,2.4849991462351304,2.6328291804437898,2.7930281107271497,2.9592093112717763,3.1247476620270533,3.2830436713348456,3.4277865768359916,3.5532059356508174,3.654301673727042,3.727043423013622,3.768531199516362,3.7771110165083517,3.7524408237612956,3.695504144008724,3.6085708629982896,3.4951067363100443,3.359635220618292,3.2075571377485783,3.0449353609547702,2.878253107294947,2.7141554722262593,2.5591845106188607,2.419518425672889,2.3007252634533275
0.4,0.4,2.2212460546031743,2.1522433943900134,2.114769068965374,2.1103170614268585,2.1390648592659116,2.19986637850161,2.290297654432317,2.406753477459068,2.544591121415387,2.6983154344085727,2.8617979131847098,3.0285210272137872,3.1918380520646803,3.345238053333253,3.4826054570506266,3.598463858318497,3.6881943482906485,3.7482196554928198,3.7761467603476753,3.7708622973137236,3.732576941256043,3.6628170085042266,3.5643636074368876,3.441141764466908,3.298063945624496,3.140834212038727,2.9757208170205525,2.809306310583894,2.6482251139490423,2.498899026104712,2.367281206947545,2.258618843583289,2.1772439615353547,2.1264007205577125,2.1081160802230063,2.123118991440868,2.1708113354854643,2.249291769101633,2.3554315250604247,2.4849991462351304,2.6328291804437898,2.793028110727152,2.9592093112717754,3.124747662027054,3.2830436713348456,3.427786576835993,3.5532059356508183,3.6543016737270424,3.7270434230136225,3.7685311995163624,3.7771110165083526,3.7524408237612974,3.6955041440087273,3.60857086299829,3.495106736310045,3.3596352206182933,3.2075571377485788,3.044935360954772,2.8782531072949493,2.7141554722262606,2.559184510618861,2.41951842567289,2.300725263453329
0.45,0.45,2.2212460546031756,2.1522433943900148,2.114769068965374,2.1103170614268594,2.139064859265912,2.199866378501612,2.290297654432318,2.4067534774590693,2.5445911214153867,2.698315434408574,2.86179791318471,3.0285210272137886,3.1918380520646803,3.3452380533332544,3.4826054570506275,3.5984638583184996,3.6881943482906516,3.748219655492821,3.776146760347675,3.770862297313724,3.7325769412560437,3.662817008504227,3.564363607436888,3.44114176446691,3.298063945624498,3.14083421203873,2.975720817020554,2.809306310583896,2.648225113949042,2.4988990261047137,2.367281206947547,2.2586188435832892,2.177243961535356,2.126400720557713,2.1081160802230077,2.12311899144087,2.1708113354854652,2.2492917691016334,2.355431525060425,2.4849991462351317,2.632829180443791,2.7930281107271533,2.9592093112717777,3.124747662027055,3.283043671334847,3.427786576835994,3.5532059356508183,3.654301673727044,3.727043423013625,3.7685311995163646,3.7771110165083557,3.7524408237613005,3.695504144008728,3.6085708629982904,3.4951067363100465,3.3596352206182947,3.207557137748581,3.044935360954773,2.87825310729495,2.714155472226262,2.5591845106188607,2.41951842567289,2.30072526345333
