beta,gamma,exp[beta0],exp[beta1],exp[beta2],exp[beta3],exp[beta4],exp[beta5],exp[beta6],exp[beta7],exp[beta8],exp[beta9],exp[beta10],exp[beta11],exp[beta12],exp[beta13],exp[beta14],exp[beta15],exp[beta16],exp[beta17],exp[beta18],exp[beta19],exp[beta20],exp[beta21],exp[beta22],exp[beta23],exp[beta24],exp[beta25],exp[beta26],exp[beta27],exp[beta28],exp[beta29],exp[beta30],exp[beta31],exp[beta32],exp[beta33],exp[beta34],exp[beta35],exp[beta36],exp[beta37],exp[beta38],exp[beta39],exp[beta40],exp[beta41],exp[beta42],exp[beta43],exp[beta44],exp[beta45],exp[beta46],exp[beta47],exp[beta48],exp[beta49],exp[beta50],exp[beta51],exp[beta52],exp[beta53],exp[beta54],exp[beta55],exp[beta56],exp[beta57],exp[beta58],exp[beta59],exp[beta60],exp[beta61],exp[beta62]
0.0,0.0,1.9999999999999991,1.9999999999999991,2.0,1.9999999999999982,1.9999999999999991,1.9999999999999987,1.9999999999999987,1.9999999999999987,1.9999999999999996,1.9999999999999987,1.9999999999999996,1.9999999999999987,1.9999999999999987,1.9999999999999991,1.9999999999999987,1.9999999999999987,1.9999999999999991,1.9999999999999987,1.9999999999999991,1.9999999999999982,1.9999999999999987,1.9999999999999996,1.9999999999999991,1.9999999999999982,1.9999999999999987,1.9999999999999996,1.9999999999999991,1.9999999999999991,1.9999999999999996,1.9999999999999987,1.9999999999999987,1.9999999999999991,1.9999999999999987,2.0,1.9999999999999987,1.9999999999999996,1.9999999999999987,1.9999999999999991,1.9999999999999996,1.9999999999999987,1.9999999999999991,1.9999999999999987,1.9999999999999987,1.9999999999999978,1.9999999999999991,1.9999999999999987,2.000000000000001,1.9999999999999991,1.9999999999999996,1.9999999999999987,1.9999999999999996,1.9999999999999991,1.9999999999999996,1.9999999999999996,1.9999999999999987,1.9999999999999987,2.0,1.9999999999999987,1.9999999999999996,2.0,1.9999999999999987,1.9999999999999982,1.9999999999999991
0.05,0.05,2.000000000000001,2.0074532395575466,2.014683781283093,2.0214770618314684,2.0276344699663724,2.0329805430109893,2.037369262436908,2.0406892045958287,2.042867347950658,2.043871391367254,2.043710496967337,2.042434433371741,2.040131158401038,2.036922941931821,2.0329611871804714,2.0284201599129976,2.023489877923779,2.0183684458868916,2.013254142061931,2.0083375724871084,2.0037942048584982,1.9997775784197742,1.9964134585121098,1.9937951660694075,1.9919802648264306,1.9909887342375256,1.9908026962718282,1.9913677017479752,1.992595519195035,1.994368308880307,1.9965440090389688,1.9989627126959837,2.0014537737298057,2.0038433515768466,2.005962086383479,2.0076525911809804,2.0087764549968115,2.009220470430539,2.0089018303307604,2.0077720795691336,2.005819657866991,2.0030709261944115,1.9995896301719465,1.9954748167283867,1.9908572824948003,1.9858946915585727,1.9807655538979931,1.9756623019202948,1.9707837391897118,1.9663271611878925,1.9624804617631986,1.9594145402395942,1.9572763129104958,1.956182609278651,1.9562151988444045,1.957417149861828,1.959790669037973,1.9632965127289783,1.967854998110913,1.973348579542038,1.9796258934034618,1.9865071165711563,1.9937904316474826
0.1,0.1,2.0,2.0148506069129253,2.029257301837267,2.0427923900401748,2.0550599795582696,2.0657103282651814,2.0744523948675817,2.081064107370697,2.085399952975179,2.087395599443727,2.087069375485998,2.0845205619778864,2.079924571911477,2.0735252198489653,2.06562439644078,2.056569565700856,2.0467395881523034,2.0365294382728534,2.026334427291619,2.016534560632351,2.007479652451067,1.999475788065054,1.9927736698927614,1.9875593060337817,1.9839474058786244,1.9819777379395451,1.9816145858026912,1.9827493134857037,1.9852059265230328,1.9887493947851604,1.9930963921733242,1.9979280113455666,2.002903932395844,2.0076774660893015,2.011910857182122,2.015290222924111,2.017539516472639,2.0184329440538025,2.017805326729063,2.015559980086962,2.0116737847869723,2.006199233658587,1.9992633624996374,1.99106359697282,1.9818606720650496,1.9719688984930213,1.9617441574973629,1.951570097385675,1.941843078283928,1.9329564629074176,1.9252848787055146,1.919169079355577,1.9149020111617399,1.9127166433326415,1.9127760522112252,1.9151661610420387,1.9198914323012608,1.9268736931370785,1.9359541507046933,1.946898528053395,1.9594051277509899,1.973115514526268,1.9876274044858782
0.15000000000000002,0.15000000000000002,2.000000000000001,2.0221367416349723,2.043611311504447,2.063785734874581,2.0820694884138895,2.0979409066031063,2.1109659081193897,2.120813316323434,2.127266182903215,2.130228682013917,2.129728317600977,2.125913372023186,2.119045712228008,2.1094892530861844,2.0976945487755563,2.08418013550424,2.0695113763251975,2.0542776562564606,2.0390688395198078,2.0244519279314837,2.010948849258592,1.9990162571232555,1.9890281416985167,1.981261936299116,1.9758886635979858,1.9729675022517217,1.9724449767104464,1.9741587870339434,1.9778461090663584,1.983156015785079,1.9896655052062033,1.9968984755060037,2.00434686978414,2.011493125870772,2.0178330142410736,2.022897931536527,2.026275739024038,2.0276292936800773,2.0267119121373103,2.0233791307806763,2.0175962739149154,2.0094415102110994,1.9991042588548535,1.986878993725922,1.973154679070958,1.9584002460915269,1.9431466796244723,1.9279664212538046,1.913450904273804,1.9001871125523808,1.8887340964455945,1.8796003828278853,1.8732231828503318,1.8699502315324064,1.8700249904811646,1.873575812992779,1.8806095147687412,1.8910096196735149,1.9045393652825848,1.9208493647654392,1.9394896374044486,1.9599255470993373,1.9815570334307377
0.2,0.2,2.000000000000001,2.029257301837267,2.057638571398695,2.084299799829477,2.108459777432186,2.1294284234853214,2.1466315688456548,2.1596312305948264,2.1681405965789327,2.172033147198679,2.1713455738989613,2.1662743992436035,2.1571664524778527,2.14450359717077,2.1288823342399357,2.110989105377555,2.0915722906044496,2.071412022677604,2.0512890252531224,2.0319537177322022,2.014096816186048,1.9983225972345686,1.9851258827648366,1.9748736522917163,1.9677920026354794,1.9639589589062445,1.9633034051662872,1.9656101570055688,1.9705309514474794,1.9776008919601915,1.9862596673755823,1.9958766719571648,2.0057789973600566,2.0152811520386447,2.0237152943802705,2.0304607452420624,2.0349715744651955,2.036801133183092,2.0356225262429275,2.031244181932396,2.0236198729425303,2.0128527652462216,1.999193311435417,1.9830310524572676,1.9648806367381688,1.9453625985930334,1.9251796492766065,1.9050894155883824,1.8858747053283618,1.8683124803335485,1.8531427722326643,1.8410387812412716,1.83257935404541,1.8282249448254888,1.828298027392381,1.8329687516418756,1.8422464310223154,1.8559772176607467,1.8738480773524517,1.8953969275099958,1.9200285573016016,1.947035720288711,1.9756245850092449
0.25,0.25,1.9999999999999973,2.036159461007004,2.07123483496647,2.104181682172833,2.134033312678203,2.1599358600902145,2.181178963092368,2.197220865077814,2.207706963428909,2.2124810994043296,2.2115891669879004,2.205274922970966,2.193968188890131,2.17826593595706,2.158907024844064,2.1367416219669093,2.112696522808492,2.087737772558733,2.062832078573744,2.0389085537607894,2.016822313232355,1.9973213691466247,1.9810181336849988,1.9683666530254231,1.9596464634457573,1.9549536936047993,1.9541997452785456,1.957117580036671,1.9632753337068025,1.9720966862006968,1.9828871431203101,1.9948651483511024,2.0071967530573267,2.019032423856895,2.0295444871670125,2.037963681201253,2.0436133228821767,2.045939692583019,2.0445373913077804,2.0391686266050835,2.02977562713392,2.016485661630886,1.9996084350530638,1.9796259410252428,1.9571751531666473,1.933024226286311,1.9080431402904114,1.8831699444687229,1.8593739386253192,1.8376172531284956,1.818816357334199,1.8038050322642962,1.793300288603846,1.7878725971701412,1.7879216305066503,1.793658497850695,1.805095200008874,1.8220417458120017,1.8441110691384657,1.8707315770309063,1.901166857458288,1.9345417918098637,1.9698740635305534
0.30000000000000004,0.30000000000000004,1.9999999999999973,2.0427923900401725,2.084299799829474,2.1232842705589405,2.1586000537385477,2.1892352075830512,2.214347983365956,2.23329659066521,2.2456611927488517,2.2512572910917994,2.25013999892788,2.2425990642566243,2.2291448684967023,2.210485983455193,2.1874992022853363,2.1611932563948444,2.132667678067176,2.103068458029997,2.0735422708349125,2.0451910938132256,2.0190290254770673,1.995943017378573,1.9766590733260194,1.9617152479086866,1.9514425013902388,1.9459541511904206,1.9451443140550897,1.9486953714471684,1.9560941281224036,1.9666559847663394,1.9795561239050856,1.9938664269074604,2.0085966100064647,2.022737898062523,2.0353074530255713,2.0453917437907303,2.052187086591063,2.055035698536354,2.053455786858483,2.0471644356771486,2.036092341101407,2.020389772692414,2.0004234916639563,1.9767647196169071,1.9501686115742887,1.9215460292225988,1.8919287208979554,1.8624292815618944,1.8341974781200834,1.8083746744516345,1.786048170455414,1.7682072770539103,1.7557028840786717,1.749212142843927,1.749209685342478,1.7559465452980012,1.7694376429755891,1.7894583577434324,1.8155503533293569,1.8470364548080944,1.8830440181468486,1.9225358968817057,1.9643478095782247
0.35000000000000003,0.35000000000000003,1.9999999999999978,2.049107719781112,2.0967380211238567,2.1414675860885253,2.1819791888717117,2.21710955331639,2.24589121488903,2.2675867633228903,2.281714144016514,2.28806205043455,2.2866948320885956,2.2779467575644134,2.2624058929998103,2.2408882666569,2.2144033734567294,2.1841124143151798,2.1512809502862824,2.1172278695584947,2.083272707614707,2.050683421733401,2.0206266980978556,1.9941227640535473,1.9720064937740034,1.9548963401551556,1.9431723093870528,1.9369638300058094,1.9361479698865547,1.9403580385193495,1.9490021946397662,1.961291277531407,1.9762747101249403,1.9928829981697882,2.009975085182398,2.026388628142121,2.0409911417874698,2.052729924537673,2.0606787279172005,2.064079261944507,2.0623758360463333,2.0552417104075587,2.0425960652691897,2.024610872262852,2.001707357380711,1.9745421634293114,1.9439837340972568,1.9110798355272571,1.8770174887860966,1.8430768935766373,1.8105811676535184,1.780843897910517,1.7551165911185427,1.7345381210929685,1.7200881942588193,1.7125467000967198,1.7124605829433224,1.7201195762106827,1.7355417910125308,1.7584697623157934,1.788377142536042,1.8244858114018163,1.8657927586788199,1.9111057093748338,1.959086114741036
0.4,0.4,1.9999999999999991,2.0550599795582687,2.108459777432185,2.1586000537385486,2.2040007800253822,2.2433550585972006,2.2755761977330575,2.2998362162817574,2.3155942907211635,2.322614056168457,2.320969114168367,2.3110365668019126,2.2934788701772835,2.2692147618473135,2.239380447789004,2.2052826181380447,2.168345181651885,2.130051854139679,2.091886896120102,2.055276363421397,2.0215322086465632,1.9918014524716836,1.9670224364225457,1.9478898814010652,1.9348301203159661,1.927987462949329,1.9272222030626465,1.9321203096212571,1.9420143745972038,1.9560149378477878,1.9730508931107997,1.991917314837846,2.0113287479514863,2.0299757835437133,2.046582611778967,2.0599632040846667,2.0690738316700905,2.073059774316627,2.0712943063635914,2.063408356572435,2.0493096127202106,2.0291902654100924,2.003523041775445,1.9730456502744969,1.9387342238307133,1.9017667915482588,1.8634782114194126,1.8253083417602833,1.7887455037476503,1.7552674803828914,1.7262824007345825,1.7030718682289292,1.686738607617958,1.6781607303606325,1.6779544594216906,1.6864468221906186,1.7036594275472599,1.7293040056585656,1.7627899242779814,1.8032434216243045,1.8495378321875386,1.9003336464990594,1.9541268563372676
0.45,0.45,1.9999999999999996,2.0606070074462597,2.1193818808752236,2.1745596917757837,2.2245073016880847,2.267782808733193,2.3031875427501487,2.3298085910020028,2.3470502116562666,2.35465293245659,2.3526996196599392,2.341608318008263,2.3221121857144436,2.295227358351831,2.26221005186258,2.2245046387012692,2.1836847855637025,2.141390012140211,2.0992602071311017,2.0588707133781625,2.021670565443824,1.9889263315042036,1.9616737823126837,1.9406792924275313,1.9264124855958678,1.9190311828796707,1.9183792169196567,1.92399715844875,1.935145482454248,1.9508392019656262,1.9698925372584988,1.9909717856906815,2.0126542284980733,2.0334906688072754,2.0520690495331397,2.0670765565352274,2.077357673135681,2.0819658144281625,2.080206427252157,2.0716697839912053,2.0562521118107364,2.0341641670725084,2.0059268687546195,1.9723541246362972,1.9345234990074927,1.8937358601585728,1.851465590333359,1.8093033224200912,1.7688934711438635,1.731869039755477,1.6997862976282578,1.6740619351562098,1.6559152093982799,1.646317400681643,1.645950614508291,1.6551775959443733,1.6740237897945849,1.7021723965200963,1.7389726602690234,1.7834611019833215,1.8343948981506477,1.890296124774947,1.9495051556888978
